,latitude,longitude,city,country,temperature,humidity,cloudiness,wind_speed
439,-29.922827564031508,-71.26186695086928,la serena,cl,66.0,68.0,0.0,13.0
440,8.989237235554981,-54.471250516997245,marienburg,sr,28.0,39.0,0.0,17.0
444,43.47174403593081,14.686954386350862,zadar,hr,48.0,70.0,75.0,11.0
450,37.24833470668243,-107.35813280159297,durango,us,33.0,86.0,75.0,17.0
451,68.86941173676672,-51.38883396245177,qasigiannguit,gl,23.0,79.0,20.0,4.0
453,16.06113149353692,47.49987367685006,sayyan,ye,56.0,31.0,24.0,3.0
456,73.09069238333217,-137.56653865750854,aklavik,ca,-4.0,83.0,75.0,9.0
458,-21.10143383315686,149.71062643922517,mackay,au,34.0,47.0,75.0,3.0
464,-33.257396375930746,60.47077386428296,saint-philippe,re,19.0,29.0,1.0,6.0
465,-24.330169679674995,30.169307569373984,nkowakowa,za,61.0,85.0,44.0,2.0
469,60.41464659761951,68.19965969494245,kondinskoye,ru,32.0,90.0,92.0,13.0
470,11.027195715031496,-30.510725036945672,sao filipe,cv,71.0,93.0,12.0,17.0
473,51.4388104241458,103.55512186570849,slyudyanka,ru,13.0,68.0,0.0,1.0
476,68.35650442706262,137.76752217972808,deputatskiy,ru,-38.0,77.0,0.0,2.0
477,-20.92693182953336,-151.58667007358963,moerai,pf,79.0,100.0,56.0,14.0
478,14.286943388334379,83.71377871998538,amalapuram,in,70.0,82.0,8.0,3.0
479,22.44782565917349,83.86041883681662,sundargarh,in,62.0,53.0,0.0,3.0
485,53.09565890719017,21.613616964420288,ostroleka,pl,20.0,56.0,0.0,9.0
487,24.84599324690663,-3.764050345170034,taoudenni,ml,63.0,21.0,0.0,5.0
496,-19.18156551333655,94.17551027744429,labuhan,id,72.0,96.0,68.0,2.0
498,-14.984705848256823,30.055480094783462,luangwa,zm,80.0,60.0,0.0,10.0
500,35.62786615345368,150.11864872031464,nemuro,jp,37.0,87.0,0.0,24.0
502,-38.75292821498561,179.27723897818436,tolaga bay,nz,64.0,73.0,100.0,10.0
503,-24.05372251681156,-58.08333577596265,concepcion,py,96.0,46.0,36.0,2.0
505,-27.57354577195759,135.78234418808154,alice springs,au,69.0,56.0,12.0,6.0
506,-7.31437349782145,-58.69902961485586,jacareacanga,br,85.0,74.0,76.0,2.0
507,15.92206964850503,154.153034459217,kavieng,pg,82.0,100.0,88.0,13.0
511,27.758766210917884,151.3501689555589,hasaki,jp,44.0,93.0,75.0,2.0
512,-11.951468504387535,122.19993977038553,kupang,id,79.0,99.0,20.0,4.0
516,-54.93524977845182,157.6447582853283,tuatapere,nz,64.0,84.0,76.0,19.0
519,-88.6487062651317,36.53587924076868,port elizabeth,za,50.0,31.0,1.0,12.0
521,88.17536663056035,143.25183604572578,chokurdakh,ru,-36.0,72.0,8.0,3.0
522,18.98790126786065,-7.012506749646747,araouane,ml,75.0,14.0,56.0,9.0
524,17.420095479277492,118.06671080771628,catuday,ph,75.0,100.0,8.0,7.0
528,61.92494928160667,51.068841435119964,sedkyrkeshch,ru,-18.0,82.0,0.0,4.0
531,4.621824472787736,-5.140924391530035,grand-lahou,ci,79.0,82.0,24.0,8.0
533,37.83090799101245,-76.39312786026656,lexington park,us,52.0,32.0,1.0,4.0
534,-8.626742771973497,110.47532050997131,bambanglipuro,id,71.0,100.0,36.0,2.0
536,50.651515319121216,-63.991366245675266,havre-saint-pierre,ca,28.0,79.0,40.0,18.0
543,18.94107081798768,-35.15869345043242,ponta do sol,cv,78.0,79.0,0.0,2.0
547,40.57914356479654,-143.73756466757857,sitka,us,56.0,70.0,92.0,12.0
549,52.50013193957969,-50.770442857385405,bonavista,ca,33.0,90.0,88.0,29.0
553,-11.326932224301856,18.769829536852626,luena,ao,68.0,89.0,48.0,1.0
555,-49.45544703197508,-79.19571492615344,coihaique,cl,54.0,58.0,75.0,12.0
558,-24.646551217781393,-49.80511815634273,pirai do sul,br,78.0,73.0,0.0,2.0
559,-24.255593301167607,66.5137872244976,bambous virieux,mu,80.0,88.0,40.0,14.0
563,64.51277569650097,-140.9648350601349,haines junction,ca,28.0,88.0,0.0,2.0
564,65.32751949036987,-47.53858091151761,paamiut,gl,35.0,81.0,56.0,12.0
567,-25.33268465084376,-71.1265400975202,taltal,cl,69.0,57.0,0.0,4.0
571,13.322326928650313,40.36790624665289,korem,et,54.0,96.0,32.0,1.0
576,49.99739603276643,-18.43891838807224,dingle,ie,75.0,94.0,44.0,9.0
577,-18.814022343313113,140.42951884399156,mount isa,au,69.0,83.0,0.0,3.0
581,-3.0210604681880255,16.799777146264802,mushie,cd,69.0,100.0,92.0,2.0
586,9.266326713045089,-90.82468104670667,acajutla,sv,93.0,63.0,0.0,3.0
589,44.586023255740514,49.13989079676213,fort-shevchenko,kz,44.0,91.0,32.0,16.0
592,47.24796789543677,-96.61474133274359,moorhead,us,37.0,100.0,90.0,4.0
593,54.22112072762786,140.91269368552128,mnogovershinnyy,ru,2.0,58.0,0.0,8.0
594,60.207574669664865,78.68115642627072,strezhevoy,ru,32.0,88.0,0.0,13.0
596,29.925763207693322,-129.0881297927662,pacific grove,us,56.0,54.0,1.0,3.0
597,51.677965809514774,-23.910762430603143,grindavik,is,43.0,100.0,90.0,17.0
598,21.019231398198357,-19.31189195134982,nouadhibou,mr,66.0,72.0,0.0,17.0
599,20.886042075915483,92.82678880507257,teknaf,bd,72.0,79.0,0.0,4.0
600,-23.044312559920257,158.0222466886815,hervey bay,au,76.0,100.0,56.0,5.0
602,75.48246499872386,111.67912251806291,saskylakh,ru,-26.0,41.0,8.0,15.0
604,40.20380936354712,-100.6481550188602,north platte,us,42.0,70.0,90.0,17.0
609,-31.499328991672165,70.04551328217113,mahebourg,mu,80.0,88.0,40.0,14.0
622,-28.744736185021402,-79.05481003839623,coquimbo,cl,66.0,68.0,0.0,13.0
623,67.08304103767242,21.24929235330876,kiruna,se,19.0,67.0,0.0,8.0
625,-0.22414364040486134,-43.039420209630634,humberto de campos,br,83.0,87.0,36.0,12.0
629,-21.85536663094652,-71.60424012620979,tocopilla,cl,68.0,77.0,20.0,7.0
633,-60.70710974768614,-18.43197155496364,cidreira,br,83.0,75.0,12.0,8.0
637,51.65469493614802,125.2569248700438,tahe,cn,6.0,47.0,8.0,6.0
638,50.44937542152408,11.458518409052004,saalfeld,de,21.0,62.0,0.0,12.0
640,2.0064030063105207,-36.51447283162355,trairi,br,83.0,100.0,20.0,15.0
648,59.7336546883098,126.95314886393248,tommot,ru,-2.0,57.0,36.0,5.0
649,-32.17379375874749,178.06976790424886,ngunguru,nz,70.0,96.0,88.0,21.0
651,14.341324405983755,2.3053016187594153,ouallam,ne,75.0,28.0,0.0,4.0
652,21.443900715647914,77.28325140105096,anjangaon,in,74.0,53.0,36.0,4.0
655,-33.56319104530025,90.53397638539798,geraldton,au,17.0,26.0,40.0,9.0
657,64.75759079340435,161.7260480178661,evensk,ru,8.0,100.0,44.0,7.0
658,66.1362107261975,178.4716154951954,anadyr,ru,3.0,77.0,90.0,6.0
660,50.82730835434634,-91.84678925001752,sioux lookout,ca,30.0,60.0,75.0,3.0
662,7.4190996148545025,42.83487851986885,jijiga,et,55.0,91.0,48.0,2.0
665,73.93977751437131,179.06096063770002,leningradskiy,ru,-7.0,93.0,68.0,4.0
668,56.42459788693802,-60.86159136337095,saint-augustin,ca,42.0,81.0,0.0,4.0
672,-28.004869144990607,9.474426135887626,luderitz,na,60.0,87.0,0.0,16.0
674,31.739387034424666,12.284979852641953,jadu,ly,61.0,25.0,0.0,12.0
675,28.989972149812417,89.51616701296558,gasa,bt,-18.0,30.0,0.0,2.0
676,76.09509937573972,-168.2546361965039,lavrentiya,ru,22.0,100.0,88.0,9.0
677,-33.65170676112769,18.41995568594689,atlantis,za,66.0,88.0,20.0,14.0
678,33.12107228514806,-98.81520066680912,graham,us,59.0,28.0,1.0,5.0
686,-48.299684671323384,-57.264866276046746,rawson,ar,73.0,25.0,0.0,18.0
690,21.834587101949325,-57.57316848601542,codrington,ag,64.0,94.0,0.0,2.0
691,36.86201626146486,17.20798339647584,locri,it,59.0,82.0,20.0,6.0
696,76.8138218584817,23.798895833957857,havoysund,no,25.0,100.0,75.0,2.0
697,73.78265635951053,165.7381943786188,bilibino,ru,-9.0,65.0,44.0,4.0
699,19.887245443369878,107.16008352513052,thai binh,vn,71.0,95.0,92.0,7.0
706,19.618691035417115,8.309132359115637,arlit,ne,74.0,19.0,0.0,8.0
710,43.952810464068676,-95.56711774172267,worthington,us,37.0,86.0,90.0,3.0
711,3.016576484815104,23.661224986357183,aketi,cd,73.0,96.0,56.0,2.0
712,-27.31371561278229,-56.99491806529838,ayolas,py,94.0,47.0,20.0,17.0
713,13.402323007223018,128.73613119535582,san policarpo,ph,77.0,100.0,92.0,4.0
720,-4.539206822334435,-54.22842746419195,itaituba,br,79.0,90.0,56.0,2.0
724,0.976448005963789,30.595345612842095,muhororo,ug,61.0,100.0,92.0,3.0
727,20.280787891655137,105.72787328553488,ninh binh,vn,71.0,95.0,92.0,7.0
730,-7.690161640208032,-29.668410853061204,pitimbu,br,84.0,62.0,40.0,10.0
732,26.540885512223937,108.2727194253452,kaili,cn,64.0,87.0,36.0,1.0
733,37.59941718276136,25.68812012973561,ano mera,gr,60.0,87.0,0.0,12.0
736,66.91502250722368,68.62194112866186,aksarka,ru,-19.0,57.0,0.0,3.0
740,82.36492214929837,35.07003015541929,vardo,no,56.0,19.0,1.0,12.0
744,49.66307559717822,-114.66111354907328,blairmore,ca,32.0,92.0,90.0,10.0
745,27.73795431436683,73.90551821419575,napasar,in,71.0,30.0,68.0,8.0
747,15.202813842833038,-23.115529738797107,vila do maio,cv,71.0,73.0,75.0,25.0
749,47.278175720633044,20.766292477171277,kisujszallas,hu,23.0,79.0,90.0,11.0
756,13.810999700298922,26.472240041025344,umm kaddadah,sd,63.0,19.0,0.0,4.0
760,21.037298016236775,-62.73639946416415,the valley,ai,81.0,61.0,20.0,10.0
765,22.996095836131744,-92.60159697669181,celestun,mx,80.0,88.0,0.0,7.0
767,-39.31300687691863,-76.26595008168407,valdivia,cl,60.0,55.0,75.0,5.0
768,-13.477235875949347,15.867579781472784,caala,ao,59.0,92.0,44.0,1.0
770,-31.46513744831139,-76.3552471664253,valparaiso,cl,53.0,40.0,1.0,4.0
